Product Name,Description,Category,Price,Discount Price,Stock,Sizes,Colors,Material,Care Instructions,Main Image,Additional Images,Video,Is Featured,Is Active
African Lace Maxi Dress,"Elegant African lace maxi dress featuring intricate embroidery and traditional patterns. Perfect for special occasions and cultural events.",Dresses,150.00,120.00,10,"S,M,L,XL","Black,Red,Gold",100% Cotton,"Hand wash cold, line dry. Do not bleach.","African Lace Maxi Dress 1.webp","African Lace Maxi Dress 2.webp,African Lace Maxi Dress 3.webp,African Lace Maxi Dress 4.webp",,true,true
African Wax Print Midi Skirt,"Stylish African wax print midi skirt with vibrant colors and bold patterns. A versatile piece for casual and semi-formal wear.",Skirts,75.00,,15,"S,M,L,XL","Multi-color,Blue,Green",100% Cotton,"Machine wash cold with like colors. Tumble dry low.","african-wax-print-midi-skirt-1.avif","african-wax-print-midi-skirt-2.webp,african-wax-print-midi-skirt-3.avif,african-wax-print-midi-skirt-4.webp,african-wax-print-midi-skirt-5.avif",,true,true
Aso Oke Couple Outfits,"Traditional Aso Oke couple outfits featuring matching designs for special occasions. Celebrate your heritage in style.",Couple Outfits,250.00,,5,"S,M,L,XL","Gold,Red,Green",100% Cotton,"Hand wash or dry clean only. Iron on low heat.","aso-oke-couple-outfits-1.webp","aso-oke-couple-outfits-2.webp,aso-oke-couple-outfits-3.webp,aso-oke-couple-outfits-4.webp,aso-oke-couple-outfits-5.webp",,true,true
Baby Girl Ankara Ball Gown Dress,"Adorable Ankara ball gown dress for baby girls. Features beautiful African prints and comfortable design for special occasions.",Kids,45.00,,20,"6M,12M,18M,24M","Pink,Blue,Multi",100% Cotton,"Machine wash gentle cycle. Tumble dry low.","baby-girl-ankara-ball-gown-dress-1.webp","baby-girl-ankara-ball-gown-dress-2.webp,baby-girl-ankara-ball-gown-dress-3.webp,baby-girl-ankara-ball-gown-dress-4.webp","baby-girl-ankara-ball-gown-dress-video.mp4",true,true
Black Ball Gown for Girls,"Elegant black ball gown for girls. Perfect for formal events, parties, and special occasions.",Kids,55.00,,15,"4,6,8,10,12","Black,Gold",Satin,"Hand wash cold. Do not wring. Line dry in shade.","black-ball-gown-for-girls-1.avif","black-ball-gown-for-girls-2.avif,black-ball-gown-for-girls-3.jpg",,true,true
Blue Lace Asoebi Dress,"Beautiful blue lace Asoebi dress with intricate detailing. Ideal for weddings and cultural celebrations.",Dresses,180.00,,8,"S,M,L,XL","Blue,Silver",100% Lace,"Hand wash cold. Dry clean recommended.","blue-lace-asoebi-dress-1.avif","blue-lace-asoebi-dress-2.avif",,true,true
Boy First Birthday Outfit,"Stylish first birthday outfit for boys. Features traditional African design with modern comfort.",Kids,40.00,,25,"12M,18M,24M,2T,3T","Blue,Gold,White",100% Cotton,"Machine wash cold. Tumble dry low.","boy-first-birthday-outfit-1.webp","boy-first-birthday-outfit-2.webp,boy-first-birthday-outfit-3.webp,boy-first-birthday-outfit-4.webp,boy-first-birthday-outfit-5.webp","boy-first-birthday-outfit-video.mp4",true,true
Brown Pencil Lace Dress,"Elegant brown pencil lace dress with sophisticated design. Perfect for formal events and special occasions.",Dresses,165.00,,12,"S,M,L,XL","Brown,Gold",100% Lace,"Hand wash cold. Dry clean recommended.","brown-pencil-lace-dress-1.avif","brown-pencil-lace-dress-2.avif,brown-pencil-lace-dress-3.avif,brown-pencil-lace-dress-4.avif","brown-pencil-lace-dress-video.mp4",true,true
Brown Wedding Dress,"Exquisite brown wedding dress with intricate beading and lace. A stunning choice for traditional ceremonies.",Dresses,350.00,280.00,3,"S,M,L,XL","Brown,Gold,Silver","Satin & Lace","Dry clean only. Handle with care.","brown-wedding-dress-image-1.jpg","brown-wedding-dress-image-2.jpg,brown-wedding-dress-image-3.jpg,brown-wedding-dress-image-4.jpg,brown-wedding-dress-image-5.jpg,brown-wedding-dress-image-6.jpg,brown-wedding-dress-image-7.jpg,brown-wedding-dress-image-8.jpg,brown-wedding-dress-image-9.jpg,brown-wedding-dress-image-10.jpg,brown-wedding-dress-image-11.jpg,brown-wedding-dress-image-12.jpg,brown-wedding-dress-image-13.jpg,brown-wedding-dress-image-14.jpg,brown-wedding-dress-image-15.jpg,brown-wedding-dress-image-16.jpg","brown-wedding-dress-video.mp4",true,true
Corset Mermaid Gown Dress,"Stunning corset mermaid gown dress with elegant silhouette. Perfect for formal events and special occasions.",Dresses,220.00,,6,"S,M,L,XL","Red,Black",Satin,"Hand wash cold. Dry clean recommended.","corset-mermaid-gown-dress-1.webp","corset-mermaid-gown-dress-2.avif",,true,true
Luxurious Aso Oke with Embroidered Agbada for Groom,"Premium Aso Oke Agbada for grooms featuring intricate embroidery. Traditional Nigerian attire for special occasions.",Men's Wear,300.00,,4,"S,M,L,XL","Gold,Green,Black",100% Cotton,"Hand wash or dry clean only. Iron on medium heat.","luxurious-aso-oke-with-embroidered-agbada-for-groom-1.avif","luxurious-aso-oke-with-embroidered-agbada-for-groom-2.avif,luxurious-aso-oke-with-embroidered-agbada-for-groom-3.webp,luxurious-aso-oke-with-embroidered-agbada-for-groom-4.webp,luxurious-aso-oke-with-embroidered-agbada-for-groom-6.avif,luxurious-aso-oke-with-embroidered-agbada-for-groom-7.avif,luxurious-aso-oke-with-embroidered-agbada-for-groom-8.avif","luxurious-aso-oke-with-embroidered-agbada-for-groom-video.mp4",true,true
Navy Lace Asoebi Dress,"Elegant navy lace Asoebi dress with beautiful design. Perfect for weddings and cultural celebrations.",Dresses,175.00,,10,"S,M,L,XL","Navy,Silver",100% Lace,"Hand wash cold. Dry clean recommended.","navy-lace-asoebi-dress-1.webp","navy-lace-asoebi-dress-2.webp",,true,true
Pink Pencil Lace Dress,"Charming pink pencil lace dress with elegant design. Ideal for formal events and special occasions.",Dresses,170.00,,8,"S,M,L,XL","Pink,Gold",100% Lace,"Hand wash cold. Dry clean recommended.","pink-pencil-lace-dress-1.webp","pink-pencil-lace-dress-2.webp,pink-pencil-lace-dress-3.webp,pink-pencil-lace-dress-4.avif,pink-pencil-lace-dress-5.webp",,true,true
Red Beaded African Dress,"Beautiful red beaded African dress with traditional design. Perfect for cultural events and special occasions.",Dresses,195.00,,7,"S,M,L,XL","Red,Gold",100% Cotton,"Hand wash cold. Do not wring. Line dry.","red-beaded-african-dress-1.webp","red-beaded-african-dress-2.webp",,true,true
Red Rhinestone Wedding Dress,"Glamorous red rhinestone wedding dress with sparkling details. A show-stopping choice for special occasions.",Dresses,380.00,,5,"S,M,L,XL","Red,Silver","Satin & Rhinestones","Dry clean only. Handle with care.","red-rhinestone-wedding-dress-1.webp","red-rhinestone-wedding-dress-2.webp,red-rhinestone-wedding-dress-3.webp",,true,true
